"level","province","city","county","town","village","short_name","merger_name","area_code","city_code","zip_code","lat","lon"
"5","广东省","惠州市","惠城区","汝湖镇","村头村民委员会","村头","广东;惠州;惠城;汝湖;村头","441302100212","0752","516023","23.177389","114.458740"
"5","广东省","惠州市","惠城区","汝湖镇","村尾村民委员会","村尾","广东;惠州;惠城;汝湖;村尾","441302100213","0752","516023","23.177389","114.458740"
"5","广东省","惠州市","惠城区","汝湖镇","上仍头村民委员会","上仍头","广东;惠州;惠城;汝湖;上仍头","441302100214","0752","516021","23.192082","114.583153"
"5","广东省","惠州市","惠城区","汝湖镇","仍中村民委员会","仍中","广东;惠州;惠城;汝湖;仍中","441302100215","0752","516021","23.177389","114.458740"
"5","广东省","惠州市","惠城区","汝湖镇","南新村民委员会","南新","广东;惠州;惠城;汝湖;南新","441302100216","0752","516001","23.174896","114.587880"
"5","广东省","惠州市","惠城区","汝湖镇","横山头村民委员会","横山头","广东;惠州;惠城;汝湖;横山头","441302100217","0752","516021","23.166177","114.596270"
"5","广东省","惠州市","惠城区","汝湖镇","沙洲尾村民委员会","沙洲尾","广东;惠州;惠城;汝湖;沙洲尾","441302100218","0752","516021","23.172914","114.597505"
"5","广东省","惠州市","惠城区","汝湖镇","仍西村民委员会","仍西","广东;惠州;惠城;汝湖;仍西","441302100219","0752","516021","23.177389","114.458740"
"5","广东省","惠州市","惠城区","汝湖镇","埔头村民委员会","埔头","广东;惠州;惠城;汝湖;埔头","441302100220","0752","516021","23.177389","114.458740"
"5","广东省","惠州市","惠城区","汝湖镇","黄埔村民委员会","黄埔","广东;惠州;惠城;汝湖;黄埔","441302100221","0752","516021","23.177389","114.458740"
"5","广东省","惠州市","惠城区","汝湖镇","大岭头村民委员会","大岭头","广东;惠州;惠城;汝湖;大岭头","441302100222","0752","516021","23.177389","114.458740"
"5","广东省","惠州市","惠城区","汝湖镇","茶径村民委员会","茶径","广东;惠州;惠城;汝湖;茶径","441302100223","0752","516021","23.177389","114.458740"
"4","广东省","惠州市","惠城区","三栋镇",,"三栋","广东;惠州;惠城;三栋","441302103000","0752","516025","23.084122","114.382541"
"5","广东省","惠州市","惠城区","三栋镇","新兴社区居委会","新兴","广东;惠州;惠城;三栋;新兴","441302103001","0752","516025","23.084122","114.382541"
"5","广东省","惠州市","惠城区","三栋镇","陶前村民委员会","陶前","广东;惠州;惠城;三栋;陶前","441302103200","0752","516025","23.084122","114.382541"
"5","广东省","惠州市","惠城区","三栋镇","坝山口村民委员会","坝山口","广东;惠州;惠城;三栋;坝山口","441302103202","0752","516025","22.961537","114.463711"
"5","广东省","惠州市","惠城区","三栋镇","莲塘村民委员会","莲塘","广东;惠州;惠城;三栋;莲塘","441302103203","0752","516008","23.043164","114.306735"
"5","广东省","惠州市","惠城区","三栋镇","上洞村民委员会","上洞","广东;惠州;惠城;三栋;上洞","441302103204","0752","516025","23.084122","114.382541"
"5","广东省","惠州市","惠城区","三栋镇","木沥村民委员会","木沥","广东;惠州;惠城;三栋;木沥","441302103205","0752","516025","23.084122","114.382541"
"5","广东省","惠州市","惠城区","三栋镇","鹿颈村民委员会","鹿颈","广东;惠州;惠城;三栋;鹿颈","441302103206","0752","516025","22.987404","114.495911"
"5","广东省","惠州市","惠城区","三栋镇","沙澳村民委员会","沙澳","广东;惠州;惠城;三栋;沙澳","441302103207","0752","516025","23.084122","114.382541"
"5","广东省","惠州市","惠城区","三栋镇","官桥村民委员会","官桥","广东;惠州;惠城;三栋;官桥","441302103208","0752","516025","23.008138","114.475144"
"5","广东省","惠州市","惠城区","三栋镇","竹仔园村民委员会","竹仔园","广东;惠州;惠城;三栋;竹仔园","441302103209","0752","516025","23.035769","114.458793"
"5","广东省","惠州市","惠城区","三栋镇","田心村民委员会","田心","广东;惠州;惠城;三栋;田心","441302103210","0752","516025","23.084122","114.382541"
"4","广东省","惠州市","仲恺高新区","潼湖镇",,"潼湖","广东;惠州;仲恺;潼湖","441302106000","0752","516039","23.082491","114.189941"
"5","广东省","惠州市","仲恺高新区","潼湖镇","广和社区居委会","广和","广东;惠州;仲恺;潼湖;广和","441302106001","0752","516039","23.076843","114.192928"
"5","广东省","惠州市","仲恺高新区","潼湖镇","永平村民委员会","永平","广东;惠州;仲恺;潼湖;永平","441302106200","0752","516039","23.082491","114.189941"
"5","广东省","惠州市","仲恺高新区","潼湖镇","赤岗村民委员会","赤岗","广东;惠州;仲恺;潼湖;赤岗","441302106202","0752","516039","23.082491","114.189941"
